display  D   display_settings.c:202  debug_display_settings           [   0.04063] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.04065] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.04067] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.04074] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.04076] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.04078] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.04079] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.04081] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.04083] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.04085] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.04087] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.04089] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.04090] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.04092] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.04094] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.04096] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.04098] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.04100] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.04101] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.04103] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.04105] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.04107] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.04109] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.04111] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.04112] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.04114] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.04116] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.04118] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.04121] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.04123] Score is : 726
