display  D   display_settings.c:202  debug_display_settings           [   0.04479] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.04481] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.04483] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.04485] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.04487] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.04489] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.04490] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.04493] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.04494] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.04496] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.04498] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.04500] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.04502] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.04504] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04506] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.04508] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04510] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.04512] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04514] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.04516] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04518] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.04520] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04522] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.04524] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04525] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.04528] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04529] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.04532] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04533] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.04535] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04537] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.04539] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04541] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.04543] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04545] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.04547] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04549] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.04551] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04553] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.04555] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04557] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.04559] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04561] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.04563] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04565] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.04567] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04569] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.04571] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04573] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.04577] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04579] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.04581] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04583] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.04585] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04587] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.04589] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04591] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.04593] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04595] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.04597] Single Buffer requirement not met.
